Admin State,Field Office,Lease Type,Case Number,Lease Number,Operator,US Well Number,Well Number,Well Name,Geo State,County,Surface Hole Location Information,Latitude/Longitude,Latitude,Longitude,Surface Owner,Expiration Date (XML),Extension Approval Date (XML),APD Approval Date (XML),Well Status Date (XML),Extended Expiration Date (XML),APD Approval Date,Current Well Status,Well Status Date,Expiration Date,Extension Approval Date,Extended Expiration Date
ALASKA,Alaska State Office,FED,A029657,A029657,HILCORP ALASKA LLC,502832018600S1,222-34,BRU,AK,TYONEK,ALIQUOT: NWNE SEC: 34 TWN: 13N RNG: 10W,"(61.000000, -151.000000)",61.000000,-151.000000,OTHER,2024-04-27T00:00:00.000-06:00,,2022-04-27T00:00:00.000-06:00,2022-12-03T00:00:00.000-07:00,,4/27/2022,PGW,12/3/2022,4/27/2024,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032083400S1,96,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.173000, -151.693000)",70.173000,-151.693000,BLM,2023-02-08T00:00:00.000-07:00,,2021-02-08T00:00:00.000-07:00,2023-11-17T00:00:00.000-07:00,,2/8/2021,OSI,11/17/2023,2/8/2023,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032083700S1,09,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.173000, -151.694000)",70.173000,-151.694000,BLM,2023-02-09T00:00:00.000-07:00,,2021-02-09T00:00:00.000-07:00,2023-07-10T00:00:00.000-06:00,,2/9/2021,OSI,7/10/2023,2/9/2023,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032084100S1,07,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.173000, -151.694000)",70.173000,-151.694000,BLM,2023-02-09T00:00:00.000-07:00,,2021-02-09T00:00:00.000-07:00,2023-06-12T00:00:00.000-06:00,,2/9/2021,WIWSI,6/12/2023,2/9/2023,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032084300S1,98,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.173000, -151.693000)",70.173000,-151.693000,BLM,2024-07-24T00:00:00.000-06:00,,2022-07-24T00:00:00.000-06:00,2023-02-09T00:00:00.000-07:00,,7/24/2022,WIW,2/9/2023,7/24/2024,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032084500S1,99,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.172860, -151.693980)",70.172860,-151.693980,BLM,2023-02-08T00:00:00.000-07:00,,2021-02-08T00:00:00.000-07:00,2024-01-06T00:00:00.000-07:00,,2/8/2021,WIW,1/6/2024,2/8/2023,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032084600S1,08,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.173136, -151.691306)",70.173136,-151.691306,BLM,2023-02-09T00:00:00.000-07:00,,2022-10-17T00:00:00.000-06:00,2023-10-30T00:00:00.000-06:00,,10/17/2022,WIWSI,10/30/2023,2/9/2023,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032084900S1,97,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.024960, -142.553180)",70.024960,-142.553180,BLM,2023-02-09T00:00:00.000-07:00,,2023-01-04T00:00:00.000-07:00,2023-06-12T00:00:00.000-06:00,,1/4/2023,POW,6/12/2023,2/9/2023,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032085000S1,11,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.173000, -151.691000)",70.173000,-151.691000,BLM,2023-02-09T00:00:00.000-07:00,,2023-02-09T00:00:00.000-07:00,2023-07-23T00:00:00.000-06:00,,2/9/2023,GIW,7/23/2023,2/9/2023,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,501032085400S1,95,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.173095, -151.692719)",70.173095,-151.692719,BLM,2025-03-01T00:00:00.000-07:00,,2023-03-01T00:00:00.000-07:00,2023-07-17T00:00:00.000-06:00,,3/1/2023,WIW,7/17/2023,3/1/2025,,
ALASKA,Alaska State Office,FED,AA081800,AA081800,CONOCOPHILLIPS ALASKA INCORPORATED,"501032085600X1, 501032085601S1",14A,MT7,AK,HARRISON BAY,ALIQUOT: SESW SEC: 32 TWN: 10N RNG: 2E,"(70.172625, -151.695262)",70.172625,-151.695262,BLM,2025-06-06T00:00:00.000-06:00,,2023-06-06T00:00:00.000-06:00,2024-05-02T00:00:00.000-06:00,,6/6/2023,WIW,5/2/2024,6/6/2025,,
